[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[  WW W W|     W B| BB WW W| B  B WB|BB  B BW|B  WWW  | B  B W |B W B  W,(7,7)],0.99591005
[ WBBW WW| WWBW WB|BBBWBWWB|   W   W| WB  B  |W B B  B|BWBBWWWB|B   W  B,(5,2)],0.9963501
[BB W WBW|WBWWBBB | WW B WW|  BW  B |BWW W WW|BBBWB BB|WBWBWWW | BBBWB W,(4,4)],0.996455
[WBBWWBWW| BBW WBB|BWBWBB B|BWWBWBBW|W BBWWWB|WWWBWWBW|BBB  WBW|WWWBW BB,(0,0)],0.99687994
[  BWB   |W BBW   | W WBW  | BW BW B|    WWW |BWBB  B |W B W B | WBBW W ,(6,0)],0.9315912
[WBB  WB |W BWB WB| BBWBBBW|WW B WBB| WWBWB W|BB  W BW|W B BWW |B W WW W,(7,2)],0.996435
[B B  W W|        |       B|  BW BBW| B     W|W      B|     W  |   W WB ,(4,1)],0.13577034
[     W  |        |        |        |     W  |        |WB B    |        ,(4,5)],0.086040005
[  BBWBB |WBBB BWB|WW WW  B| B WBWBW|W WBWB B|W   WW W| WB   BW|  WBWBBW,(3,7)],0.8388587
[B W B BW|B B  BWB|WB  B   | W  B   |BW WBBWW|  BBWWBB|W WWB   |WW WW  W,(1,6)],0.989
[ W  W WB|BWBBW WW|WB B B W|   B    |BWWWB BB|BB B   W|BWWWBWWW|      B ,(4,1)],0.9545377
[WBW  BB |B  BBBW |BWB BW  |WWW BBBW| BBW B  |W BW WWW|BWW  B W|W B W WB,(5,2)],0.9963401
[WBWWW WB|BWWBWB B|WWW BBWB| BB WWBW|B BBBWWB|WWBWWBBB|BWW WWBW|B BBB WW,(0,6)],0.9967252
[ WW  B  |  W  WB |BW   B  | WB W   |    WW B|B    B  |      BW|WB    BW,(6,7)],-0.0214375
[BWBBB WB|WBWWWBBB|BW  WWWB|WWBW B W|WBB W BW|WB    W |BW BWBWB|BBWBB WW,(3,5)],0.9959551
[        |       B| B      |B W B BW|  WWW W |BWBWB  W|W WBBB  |WBW WBBW,(3,7)],0.96989757
[BWWW BWB|B WB  W | WW  W  | B  WW  |BWBB    |B W B WB|WWBW BWB|BWB BBW ,(5,6)],0.99622
[        |  W     |        |        |        |        |        | B      ,(7,1)],0.11874062
[B B W   |  WBWW  |WW WB W | B W WB |B WB    |  W  BW |     BBB|W B  W B,(5,6)],0.99542505
[     W  |        |   W W  |        |     W  |  B     |B       | B      ,(2,5)],-0.008134999
[W BWBBW | WW W   |  WBW W |   BW  W| B B    |   W    |B B   WB|B  BB WB,(7,3)],0.9040292
[WBBW  W |BWWB BBB|WB WBBBW|  WWBWWB|BW W W  |BWB BBWB|WBWWW WW|BWB BBWB,(5,2)],0.99655503
[WW BWWWB| BBW BWW|BW B B  |WBBB BW | WWWB   |BBBW WWW|WBW BWBW|W BBBWBB,(7,6)],0.9964601
[WWBBWBWW|BBBWBWBW|BBWWB  W|  WBWWWB|WBBW  BW| WWWBBB | BW WW  |BWB BBBW,(0,0)],0.99664
[WBWBBW B|WWWBW BW|BWBBB BB|B WWBBWB|W  BWBWW| BWBWW W|BWBBWWBW|WW  BBW ,(2,1)],0.99671996
[WBWW  WB| WWBBBWB|BWB BWB |BWW WWW |WBBB BBW|BBWBWBWW|BBWBWBWW|BWW  WBB,(1,3)],0.99663496
[       W|        |        |        |        |        |        |        ,(0,7)],0.052863114
[        |      WB|   W W B|W   W   |B  BW B |        | W  B   |     B  ,(7,5)],0.42155188
[WBBWWBW |WBWBWWWB|BBWWWBBW|BWWBBWWW|WBBWBBBW|BWWBBWBB|WBBBWBWW|BWWWBBBW,(7,2)],0.0
[BBWBBWWW|BWW WBBB|BWB WBW |WW WWBBB|WBWB WWW|BBWWWBBW|BWBBBWBB|WBBBW WW,(1,0)],0.997095
[B W B   |  W WWW | W    B | BB     |W   W  W|BB  BW  | BB    W|B       ,(5,0)],0.7587525
[W WWBB B| B BBWB |WW W   W|B  B WWW|WW  WW W|W B  WBB|BBWB BW |WBBBWBB ,(3,6)],0.9831473
[BWBBBWWW|WBBW  WB| W  WBBW| W BW  W|  B  B W|  WWWBWB| BWBWW B|BBB B   ,(7,4)],0.99539995
[W B  WBW|BWW WB  |BWBWWBBB|B  B  B |W W WBWB| WBBWWW |  BWW W | W BBWBB,(2,3)],0.99627507
[WWWB BWB|BWBBWBBW|BBW   BB|WW  WWW |BW B WWW|BBBW WBW|WW WBBBW|BBBWBWB ,(5,1)],0.99592
[   B    |WBWWBWW |WWBBB  B|WB  WBWB|BW W  WW|B WB WW |   BBWBB|  BWBWBW,(4,3)],0.91740245
[ B    B | B W B B|   W B W| B   W  |  BWWWB |        |BW      |    WW  ,(4,6)],0.5849901
[WB  WW  |B B     |W W  W B|B   BB  |W    BW |    W   |B    BW |        ,(6,0)],0.062970325
[  WWB WB|  B     |B  BW B | WB   WW|B W WW  | B B BBW| W B  WB|B  WBW W,(0,7)],0.8479226
[WWBWB BW|BBB BBWB|WW   WBW|W WBB BW|BWB WWBW| BB W WB|WWWBBBWW|WWBBWBBW,(5,4)],0.9967451
[    B   |    W  W|BB B    |W WB   B|     BW | WB  W  | W   W  |      WB,(7,6)],0.44266564
[WB WWW W|W   B B |B W B B |W   W B |B WW   W|BBW WBBW| B   W  |BBWWBB B,(6,1)],0.99593
[ WBBBW W|    W   |       B|   WWW  |B  B    |W  W  B |       B|  BW    ,(0,1)],-0.019355
[BBW WW B|BBBWW W |B  W B W|W BWWBBB|  WBWB W|W WBW B |WBBWBBB |WWBW B W,(6,6)],0.99650514
[B WWBWBW|WBWW W W| B BB BB|WW WB BW| B B WWW|WB    W |BW WB BW|BBBWBWBB,(2,7)],0.99615
[BBWBWBWW|W WB WBB|W WBBBW |BBBWWBWB| WWBBWWB|B WWWBBW|WBWBBWWB|BBBWWWBW,(7,6)],0.996875
[BBW W   | W   BW | BB  BB |WB     W|B W  W W|  W   WB|   B B B|  W WW B,(2,1)],0.82699746
[        |        |        |  W     |        |B       |        |        ,(5,0)],0.15676251
[ B WB WW| B      |    B BB|BB WW   |    BWB |WWW  B W|   WW WB|  W   B ,(5,2)],0.9191
[ W     B|        |  B B   | W W    |   W    | B   WB |        |   WB   ,(0,7)],0.26452416
[B  B B W|      BW| W  W B | BBWB WB|WBB  WWB| W BW B |  W  WWW|BWB W WB,(6,5)],0.996035
[ WWBWB B| WWBBBWW|WBWWBBB |BBBWBWWB|BB   W W|WWWB BB |B  WWWBW|BW WWBBW,(0,2)],0.99656
[B W  B  |BW      |BWBW  W |W  BW W |  BW    |   B WW |     B  |B  W  BB,(7,7)],0.72667
[B   B   |W      W|    BBB |  W   W |W       |W   B BB|  WW    |  BW W  ,(1,0)],0.8096725
[  WWBW  |WB B  W | WBBBWBW| W  B  B|W B  B  |BBWWBB  |W WBW WB|B  WW   ,(5,0)],-0.039467502
[   WWB  |WB W   B|  B  B  |   WB B |    BBW |WW  BWBB| WW  WB | BW   W ,(5,4)],0.67098284
[ B   WBB| WWB    | WW    B|     W B|  WWB   |  B     |   B W  |  W  B W,(7,2)],0.62016267
[BWWBWBWB|BB  WB W|BB BBWBW|WWBWBBWW|B BWWWB | B WB B | W BWBWB| WW WWWB,(4,0)],0.99588
[WWWBWWWB|WBBWBBBW|BWBWBWWW| WBBWWBB|BBWB BBB|WBWWBWBB|WBBWBWWW|BWBWWWBB,(0,3)],0.99806994
[BW  WBWW|WBWWWBB |BW  BWBB|BB BWWBW|WW BBB W|BBWB BWB| WW WBWW|WBWBBWWB,(7,6)],0.996755
[        |    B   |  W W   |   B    |   W   B|    B B | W    W | W     B,(7,7)],0.18350932
[   W    |       B|      W |        |        |      W |        |       B,(5,6)],-0.0042700004
[BWWBBWWB| W BWBBB|B  W W W|BB  B W | BWBW WB|WW BB WW| BBWBW W|B   WB W,(1,6)],0.9954885
[B B BW  | WBBW W |  WBB  W|    B BW|   W WBW|WBW  B  | BWBWWB |WB  W   ,(6,5)],0.99586
[ B      |        |        |        |      W |      W |        |        ,(4,6)],-0.0055474993
[     W  |        |        |        |        |        |        |        ,(0,5)],0.031649996
[BWW WBWW| BBWWBBB|WWWB WWW|WBBWWBBB|WWBBBWWW|BBBWWWBW|BBWBBW B|WBBWBBBW,(2,3)],0.99732494
[BWWBBWWB|BBB BBBW|WBWBW WW|WWWBW BB|WWBW BBW| W  WBWB|B BBWBWB|BWWB WWW,(4,7)],0.996785
[ WWW   W|    W   |        |B    B  |  B B   |       B|   W    |       B,(5,7)],0.56054556
[BBB WBBB|BWWBBB W|WBBB  WW|W  WBB W| WWBWW B|W WWWBWB| WBB WBW|WBBBW  W,(6,6)],0.9964851
[WBWBWWBB| BWBWBBW|W  WWWBB|WWB  W  |BWBWBWBB|BBWBW WW|WB B BB | BWBWBWW,(7,3)],0.9966351
[WWBBW WB|BW  BWBB|W WW W W|BWBBB  B|WBBWBBWW|BW W  W |WBB WWBB|B  WB WB,(1,4)],0.99653995
[BWBWBBBW|BBWBWWWB|WBWBWBWW|BWW BBBW|WWBWBBBW|WBBBWWWB|BBWBWBWW|WBWWWBBW,(6,4)],1.0
[  BBBW B|BWBW BB |WWWBW   | BBWWB B|W W B WB|BB WWB  |WWWBWWBB|W BWWBW ,(1,6)],0.99632996
[ BBBWWBB|BW BWB W|WBWWW BB|WBBW BWW| WW BBBW|BBBWWWBW|WBWWWBWB|WBWWWBBB,(3,0)],0.99688995
[BBW BW B|  B  WWB|WW  B  B|B BWWBWW|BWW   WW|  B WBB |BWWBWB B|BBWWBWWW,(7,2)],0.9433676
[        |       B|W W     |  W   WB|  B     |      WB|  B     |        ,(4,2)],0.15819001
[B B   W | W W W  |W  BWWBW|BWB   BB|   B BWB|WWW W BB|BW   BB |W WB    ,(6,5)],0.99556005
[   B    |WW    BW| BB B   |  B     |  WB WB |        |  W    W|     WW ,(7,5)],0.51555616
[        |W  B    |  B     |        |  W     |   W  B |    W   |     B  ,(7,5)],0.37880757
[  W     |B B     | B    W |WW B   W| W B    |WW  BW B|   W B W|B B     ,(6,3)],0.8856146
[ WBB   B| B B WW | WB W W |W  W  BB|W  B    | B W    |   B    |     W  ,(1,3)],0.5781327
[ BB     | W      |        |  B     |    W W |WB      | B      |     W  ,(5,1)],0.12721497
[WWBBWWBW|WBWBBWWW|WBWBB WB|BBBWWWBB|BWBB WWB|BWWBWBWW|WWBWWBBB|BBBWBWWB,(5,0)],0.9983199
[WB   B  | W    BW|BBW W  W| BW   BW|W B BWBB|BWBW BBW|WWWB B W| WBB  W ,(7,3)],0.99591506
[BW BWBBW|WBWBBB W| BWWBWWB|WWW B BW|WWBWWBWB|BBWW WWW|B B  BBB|BB WBWBW,(5,0)],0.99677503
[   BB W |BBW W   |BB  WWW |  WWB  B|  W BWBW|B  B B W|WB   W B|    W W ,(6,5)],0.6407874
[BBWWBWWW|B    WBB|WBWBB WW|BBBW B W|BWBWBWWW|BBWWBBB |WBWBWBWB|WW  BWBW,(3,2)],0.9825425
[WWWBWW  |WBBWBBBW|B BBWW  |WB B BWB|B W WBBB|WB BBWBW|WWWBBWBW|WBWBWWW ,(0,5)],0.99619997
[ W BW W |BWW WWBB|  B  W  |  WBWB B|   B   W|  W   W |W  B B  | BBB    ,(6,3)],0.976085
[ BB  WB |  WW  BW| W W W  |BW  B B |   B W  |      W |        | W  BB B,(4,3)],0.12962563
[WBWB B  |  B WBB | WW W W |        | WW    B|    WBWB|B    BWB|W   B   ,(0,3)],0.73495126
[WWWBWBBW|BBBWWBBB|BWBWWWBW|WBBWBBWW|BWWBWB B|WBWWWBWW|BWWBBWWB|WBBBWWBB,(7,4)],1.0
[ BBWB WB|W BWW BW|W WBWWBB|WWWBWWBB|BB BBB W|BW  WBB |WWWBWBWW|WBBWB BW,(1,4)],0.9966901
[B B B W |WB BWWBW|BB  WBWB|B W B  W| WB   BW|  BB WWB| BWWW WW|  BWBWWB,(4,6)],0.9961499
[     WB |        |  B     |   B    |W      W|        | W      |    B   ,(3,3)],-0.0042699995
[    B   |   B    |   W    | BB W   |  W     |  B   W |    WB  | W      ,(1,3)],0.54907995
[        |        |        |        |        |  W     |        |        ,(5,2)],5.768752E-4
[BWWWBBBW|BWBWBWB |WWBBWBWW|BBWBWB B|BBWBBWWW|WWBWWWBB|WWBWBBWB|WWBWWBBB,(3,3)],0.99807996
[BBBWBBWW|WWB WBBB|WWBB  WW|BBWWWB B|WWW WWWB|BBWBB BW|WBBWBWBW|WBWWBWBB,(5,6)],0.99694985
[WWBBWWBW|BBBWWBWW|WWWBBBWB|BBBWWWBW|BBBWBBWB|WWWBWBW |BBWBWBWB|WWWBWWBB,(2,2)],1.0
[        |        | W      |        |        |        |        |        ,(2,1)],0.010341877
[ B  B  B|W  WWB  | WB B   |    BW  | WWBBW  | WW   WB|W BB    |        ,(0,4)],0.90953
[W WBBB W|WB  W  B| W      |WWWB B  | BBB W B|B WWBWBB| W     B|W     WW,(7,7)],0.8914649
[     B  |BW B  B |W WBW WB|      B |    WB  |  BB W W|W  W    |  WW BWB,(7,2)],0.7732861
[W BWBW B|W  W BW |   B WW | W    BB|B    W B|BWBW  B | WB WB B| WB WW  ,(0,5)],0.98924005
[BBWBBBWB|BWBW WBB|BWWBWWBB|WBWBWBWW|BWBBWBWW|W WWBBBW|WWWBBWWB|BBWWBBWW,(1,2)],0.9983001
[  W W BW|    B  W| B   WWW| B  B   |B B BW W|WW WBB B|W BW WBB|B W   B ,(1,4)],0.9960601
[ W  W   |B     BW|  B     |B B     | W    WB|W W    B|   W   W| B      ,(0,1)],0.1154325
[  W BW  |WB B BB |B   BB B|WB WB W | B W WWW| BWW  B |    WW W|BW B WB ,(1,5)],0.99624
[ BBBWBWB|WBBWWBBW|WBBWWWBW|  W BWWW|BBBWWB B|BW BWBWB|BBWWBBWB|WWBWWWBW,(0,2)],0.99687004
[W W WW B|     BBB|WBWWBB W|W W  BWB|BWWB WBW|B   BWWW|BW  BWB |  BBB BW,(1,6)],0.9964601
[ BBWBBBW|WBWBWWBB|WBWWWBB |BWB BWW |WBB WBBW|BWWBBWBW|BBBWWWBW|WWWBWWWB,(0,3)],0.9968851
[BW W   B|WW  WBBW|B  BBBWW|  WB  WB| W W B W| B BWW B| WWB   W|B BBBWW ,(3,6)],0.9857551
[BWB WB W|WWBBWBBB|WW B WWB|BBWWWBWW|WBWBWB  |BWBWBWWB|BWBWWBBB|BWBWWBWB,(5,7)],0.99702007
[BW  WBBW|B  B B  |W B WWW |BB  WB W|    BBWB|    B  W|WBBWBWWB|WW    WW,(3,7)],0.9961901
[ BW  W B|BBW  WBB|WBW  B W|BW  W BB|WBBB    |W WW B B|WBWB  WW| BWWWB W,(6,0)],0.99614
[      B |        |      W |        | W   B  |        |B       |WW     B,(6,0)],0.13654438
[WBWBWBBW|BBW  WW |WW  B BB|  BWBBW |WB  BWB |  W WBWW| WW  B B|W BBBW  ,(7,2)],0.9438599
[WBWBWB B| BW  B  |    W   | W  W  W| WB  BWB|B W     |W WBBBWW|BW W BB ,(3,1)],0.96303254
[ B W   B|B   WBWW| W  WWBB|     B  |BW B    |WB BWW  |B    BB |WW     W,(6,0)],0.7213875
[WBWWBWWB|BBWBWWWB|WBBWWBBW|BWBB B B|BWW WWBB|BWBB WWW|WBBWWBBW|BWBW BWW,(7,7)],0.9970349
[  W W   |WB WB  W| BBBW BB| W WWBBW|  B    W| BB    B|B BWW WB|WW      ,(6,0)],0.9366025
[BWWB BBB|BBW WWBB|WW     B|  WWB   |B  W W W| B   B B|B WWWB W|WWBWBB W,(1,7)],0.99495506
[WWWB BWW|WBB W B |BWBBBWW |WWBW  B |WW  BWBB|B BBWB B|WW  BWWB|W B WBBW,(2,2)],0.92990065
[   W   W| B BW  B|   W   W|B       |   W    |B  WW   |        | B   B  ,(5,4)],-0.015274999
[WWB  W  |W B W WB|W  W  WB| WB B   |  WB B  |BB  BBBW|BWB B   |WW WB  W,(6,2)],0.9702002
[ W B WBW|B    B  |WB W  WW|WW  W B |B  BBWW | WW B B |B  W BWB|W WBB  B,(0,7)],0.9808551
[  B  B  |     BBW|    BW  |WB  BW B|W    B  | BW W   |  W     | W  W W ,(4,0)],0.32954496
[BBWBWWBB|WBWBWBWW|BBBWBWWB|WWBWWWBB|BWWBBBW |WBBWWWBB|BWWWBBWW|BWBWWWBB,(3,3)],1.0
[BBBW WW |WW WW WW|BWWBWBWB|WBWB  BB|WBB BWWW|BBBWBBBW|W BBB  B| W   WBW,(3,1)],0.9965951
[BWW W BW| B BBWWB|BBWW BB |WWW  WWB|WB WW WB|B WBBB W|BWB WBBW|BBBWW  W,(3,0)],0.9964801
[ W W B  |BBWWW BW|  B  BBW|  B W W |WB B BWW|WWW  BB |BB WB W | W  B BW,(1,3)],0.95686877
[  W  W  |W       | B    WB|B   W   |W       |       B|BB      |     B W,(5,7)],0.113415
[W W WBB |WBBBW B |WWW WWWB|BBB BBWB| WW BWBB|WWBWBWWW|BWBBW WB|BB W  B ,(1,2)],0.99499005
[B W BWBB|WWWBWWBB|BBW BBWW|WWB WWBW|BBBWWWBB|W   BBWB|BWBW W B|WWBWBBWW,(0,5)],0.9964701
[BB  BB B|B   BW W| W W  BW|WBWBWB B|WB BWWBW|BWB W  W|WBW     |WWWB B  ,(4,1)],0.97255003
[ B      |     W W| B B    | B BW B |      W |      W |W BW    |      W ,(5,6)],0.55490625
[WB BWBWW|   B   W|    WWW |  B     |WW WWB W|BW BWBBB|   B  B |B B W B ,(7,2)],0.9316093
[   W   B| WB    W|BBB   BB| BBWBW W|WW   B  |WBBW   W|WBWBB WW| BWWWB  ,(1,2)],0.99144
[WW WWWBB|BBB BBWB|WBBW WWW|WBWWW WB|B B WB B| BBWBBWB|  WWBWWW| BBWBB W,(7,1)],0.99665004
[    WW  |  B  B  |      W |   B   W|   B    |  B     |     W  |     W B,(1,2)],0.065301254
[WWBWBBWW|BB BWB W|BWWB W B|WWBWBWBB|BBWWBW B|WBW B BW|WWBWWWBB|BWBWBBW ,(7,4)],0.9968051
[B BW WWW|WBB WBB |B  B WWW|WB BWBBW| W WBWWB| WB WBBW|BBW B W |WBBW BW ,(4,6)],0.890255
[BWBBWBBW|BBB WBWW|WWB BBW |BBW WWBW|BWBBBW B|WBBWW WW|BWWBWWBB|W WWB BW,(1,0)],0.9968101
[BBWBBWBB|WW WBWWB|B WWBBBW|WW BWWW |BWBWBBWB|WWW  W W|W WBB BB| W BB BB,(0,6)],0.995875
[WW W WWB|W  B BB | W  B B |WB B W  |    B   |B WW WBW|BWW   WB| B BWBWB,(5,5)],0.9342885
[   WBWW | B   WBB|BWBW W W|   BB W | BB W   | W   BWW| W    B |BB  W B ,(0,4)],0.8758237
[ W WWW  | BWWB  B|W    BB |  W  W B|B  B B B|B BB  BB|WW    BW|BWWW WW ,(6,6)],0.995745
[ B  BB  |WB  B  W|   WW  W|BBW    W|B W W   |   W WWB|  W B BW|  BB WB ,(4,4)],0.6763383
[     BWW|WBWW WBB| BWB  WB|W WBW   |   B WBB|B W     |WBW  B  | B W B  ,(6,1)],0.9786474
[WW W B  |   W    | WWBB   |BB   B  |        |BW   W B|    W   |WBB  BWW,(0,1)],0.6755464
[ B  W  W|W W   B |BW   B  |   W B W| W B    |  WBB   |   W    |B WB    ,(0,4)],0.7155726
[W W BBBW|W  W WW |BWBWBWBB| W  B BB|WBB WBWW|   WWWBB|BWWBB   |WBBW WBB,(0,5)],0.99645996
[  W   W | B WBW  |WBB     |   W   B|B WW  B | WB W   |B  BBB  |WWBWBW W,(4,2)],0.9591274
[        |W     B | W  BB W|   BW   |B       |     WB | W      |  W     ,(3,4)],0.21626624
[WWBBWWBB|WBWWWBWW|WBBBWBBW|BWW BWWB|WBWWBBBW|WBBB BW | BWW BBB|BWBWWWBW,(1,3)],0.99719507
[WWWBBWWB|WBB BWWW|BWWBWWBB|BWWBBBWW|W BBBWBB|BBWWWBWB|WBBBWWWB|WBBWBBWW,(2,7)],0.99789506
[BBWBB WB|BWWBWB W|WB BWBWB| WWW W W|BWB  WBB|B WBWBB |W WB WW |BWBW BBW,(0,1)],0.99225503
[BWWWBBWW|BBWBBW  |WBBB W B| WWW W B|WWB BBBW|B  WBBBW|WBBWWBWW|W BW WBB,(2,1)],0.99662495
[B WW BWW|WB B B W|WW BWBWB|BW WWWBB| W BBWB | BBW WBB|WWBWBB B|BWWW BW ,(3,1)],0.9964801
[WBWWBWW |BWBWWWBW|BWBWB BB|WWBBWWBB|WBWWBBWW|BBWBWWWB|WBBWB BB|BWBWWBBW,(1,3)],0.997575
[ BB BBBW| WWWBWW |BBB    W| W WB  W|BWWW  B |W  BWBBB|WW WBWWB|BBB  W W,(4,2)],0.99648505
[W   B   |      BW|W  B B W|    W  B|  WWB  B| W B WWB|B    BWW|W  B    ,(5,1)],0.23753051
[BBBWWWBW|WWBBBWBB|BBBWWWBW|WWWBWBW |WBWWWBWW|BWBBBWBB|WBWBWBWB|BWWB BWB,(1,4)],0.9981
[   B    | WBBWB  |     BW |     WWB| BBW    | BBWWBW | W W WWB|WWB    B,(6,6)],0.64510286
[W WW  W |BB W  B |BB W B  |  WB B  |W   W  B| BWW BWW|WB B W  |WW  BBB ,(7,1)],0.99564505
[WBBWBWWW|BWWWBWBW|WWWBWBBW|BWWBBBWB|BBBWWWB |BWWWBWWW|WBBBWBBW|BBBWBB B,(3,3)],0.0
[WBB BB B|BWWWBWWW|B  B WBB| W WBBW |WW WW B |W  BBWWB| WWW WBB|BWBBBWWB,(5,0)],0.9965299
[WBWWBWBW|BBWBWBWW|BBWBWWWB|BWBB BBB|W WWBBWW|BBWWWBBW|BWBBBWW |BWWBWWBW,(2,4)],0.997585
[W WB  WW|B BW    |WWBWBB B|WW   W  |WWB  W  |B  BB B |  WBBB  |  BBW  W,(6,5)],0.94432247
[B WB   W|B   W   |W     WW|    BBWW|   BW   |BB  WW  |      BB|W BW BB ,(3,4)],0.60933745
[BWWB WBW|W BWWBWB|B BW BWB|WWB WBBW|BWWWB B |WWBWWB B|WBWB BWB|WWBBWBBW,(7,1)],0.99674004
[ BWBWWBB|BBWWBWBB|WWWBBWWW|WBBWWBWB|WWBWBB B| BBB BBW|WWWBWWBW|BBBWBWWW,(1,7)],0.9973451
[BW BWBWW|BB  WBWW| W   BBW|WWBBW WB|W WW  W |B BBWWBW|WBBBWBB |BB B WW ,(0,4)],0.99608505
[W W BWW |WB     W|  W    W| B  B B |  W  B  |WWW WW  |BB BBBWB|B BBWWBB,(6,4)],0.8883375
[B       |        |        |W   W  B|        |    W   |      B |        ,(0,0)],0.27685
[BWWBWWBB|BBB  BBB|BWBBWWWB|WBBWWBWW|WWWBBBW |WB WW  W|BBBWWWBB|WW WWBBW,(3,3)],0.9967801
[BWWBBBWB|WWBWBWWW|BBW BWBW|WWBBWBBW|BWW WWWB|WBBWBBWW|BBWBBWBB|WBWWBBW ,(5,6)],0.9975749
[ B B B W|    BW  | WW W   |W W  B B|B     B |      W |   BB   |    W  W,(0,1)],0.65569514
[        |        |W  B    |        |   W    |   B    |  B   W |        ,(2,3)],0.060676895
[ BB BWB |BW     B|WW B  WW|BB W  BB| WWB WWW|W BBW B |W WB WBB|B WWWBBW,(0,2)],0.99498004
[B       | W      |    W   |        |    W   |       B|        |        ,(2,4)],-0.009375624
[        |     W  |        |W       |   B    |        |        |        ,(3,0)],0.09445623
[BBBW B W|BWBWBBWW|WBB BWW | W W BWW|W BBWBB |WWB   BW| BBWBWWW|WW B BWB,(7,6)],0.99654514
[W BW W W|BWBBWW W|   BBW  |   W  B |     BBW| WBWB  B|WBB  WW | W  B  B,(1,7)],0.99464005
[W BBB WW|WWBWBWBW|B WBW W |W B BWW |   WBWBB|WBWWWBWB| BWB WWB|BBBWB B ,(1,5)],0.9963051
[        |        |        |      W |     B  |        |        |        ,(4,5)],0.052762788
[ WB   BB|B  B W  |  WWWBB | B BB BW|WB BW WW|W WW  WB| WBB B  |W WB WBW,(5,7)],0.996045
[   W    |   W    |   W    |        |B       |       W|BB  W W | BBB  W ,(2,3)],0.735995
[WBBWWWB |BWWBBB  |  WBWWBW|W B WBW |W B WWWB|W WBBBWB|BBWW BBB|BBW BWWW,(7,6)],0.99662
[    WBB | B W B W| W W BWB|W BW    |B   B  W|  W W  B|B BW B  |B WWBW  ,(4,4)],0.9182326
[W B   B |  B B WW|W      B|W       |B     W | BW  BWW|W  BB  W|BW   WBB,(5,1)],0.5899261
[WBW   BB| WWBB W |BBW WBWW| B  BB B| W WB   |W  W  W |WB B  WB|B    W W,(1,1)],0.7980453
[WBW WBW |BBBWBWWB|WWBWBBWW|W BWWWBB|WWW   B |   BB WW|BWW BBWB|B W B BB,(1,6)],0.99663
[B BW   B|WWWBBWBW|   B B  |    WWB |  WBWW W|WBWW  BW|WWBBB WB|B W BBBW,(3,4)],0.99505985
[ WBWBW  |BWWWBWW |B BBWWWB|W W  B W|B WWWB W|BB  WBWB|B BWB BB|  W  B B,(7,7)],0.9960701
[WWBBBWWW|BBWWBBWB|WWW W BW|BBBWWBWW|BBWB BBB|B  WBBWW| BWWBWBW|WWBWBWBB,(1,7)],0.9969799
[WBBB WBW|BWBWBBWB|WWBWWW B|WBW BWBW|WWWBBWBW|B BBWBBW|BWWBBBWB|WW WWWBB,(0,7)],0.99718493
[  B     |     W  |   BW B |    BWBW|W  W    |   W BB |  B   WB|       W,(2,3)],0.15145466
[  B W W | B     B|  B    W| WW   BW|  W    B| W    B |B  W   B|   W    ,(3,1)],0.1695531
[        | B  B   |        |      W |        |        |        |    W   ,(1,1)],0.06496002
[    WB  |        | WB     |  B W   |     WBB| W B  B |     W  |W  BW   ,(4,7)],0.11723329
[WWBWWB B|BWWBBWWW|BBBWWBWW|BWWBBB B| WBWWW W|BBBWBW W|WBBBWBWW|BBWWBBWB,(1,2)],0.9966
[     B  |B B    W| WWW   W|WW B W B| BWBBB B|B B WW B|   B W  |  W WW  ,(6,5)],0.9608261
[B WW  BW|  BBBW B|BWWBW WB|BWWBB BW| BW W BB|WB  BBWW| WW  WBW|B W BBWW,(1,7)],0.9962999
[WBBBWBBW|BBWBWBWW|BW WWW B|WB WBW B| W BBWBW|WBWB BBW|WWBBWBWW|W BWB WB,(1,2)],0.99670506
[BWWBW B | W W WBB|B B WBWB|B  BB   |WWB WWB |BBWBB BW|  B WW  |WBWW  WW,(0,3)],0.996305
[BWBWBBW | W WBBWW|W W  B B|B WBW W | B WB WB|BW   WW |BBW  BBW| BWWB   ,(5,5)],0.99625003
[W  WWBWB|WB B  WB| WBBWWBB|W WW  WW|WWWBBBWW| BBBWWBW|BWBWBBWB|B  BBWBB,(1,1)],0.99662
[BWWBWWWB|WWBB BWW|WW WWW B|B WB W B|BBWB BWW|WBBBWWBB|B WW BBW|BBWB BWB,(4,1)],0.9962301
[        |   B    |W    W  |        |        |   B    |        |     W  ,(2,5)],0.09286657
[  BW    |  W  B  |W   WB  |       B|  B  W  |        |  B    W| W B W B,(7,7)],0.18454154
[ WB B   | B   W W|B WW  W | WW B W |W BBB  W|BWB     |        |   B  B ,(2,0)],0.6191118
[ W     W|  BB B  |W     W |    B   |WW  B WB|W  W    | B  B   | B    W ,(2,6)],0.7499224
[W B B  W| W W WBW|BB WW WW|WW WB  B|BBB W   |BBW     | WWWB B |   BB B ,(0,0)],0.89215124
[        |        |        |    W BW|        |        |  B     |        ,(3,6)],0.10836027
[W BWBW W|B W BBW | WW W BB|  W  WB |   WB BB|WWWB BW |BWBBWB B|  BB WWW,(2,1)],0.996415
[     B  |B B   W | W W  B |B   W   |   W W  |B  BBB B|W W W  W| WWBB   ,(5,4)],0.8597161
